# .test .cputime .temperature .time_mat1 .time_mat2
198 0.203586  4.870 0.001208 0.001515
199 0.204347  5.357 0.001245 0.001579
200 0.206552  3.409 0.001231 0.001595
201 0.206050  3.409 0.001271 0.001602
202 0.208429  4.870 0.001256 0.001665
203 0.208734  5.357 0.001324 0.001617
204 0.208842  4.383 0.001322 0.001633
205 0.210250  3.896 0.001316 0.001629
206 0.225690  4.383 0.001417 0.001844
207 0.213869  5.357 0.001383 0.001668
208 0.213036  4.383 0.001382 0.001697
209 0.215340  5.357 0.001445 0.001842
210 0.215220  4.383 0.001397 0.001781
211 0.220636  5.844 0.001391 0.001746
212 0.218933  4.383 0.001434 0.001792
213 0.218806  4.383 0.001416 0.001813
214 0.219596  5.357 0.001448 0.001862
215 0.220485  4.870 0.001466 0.001861
216 0.221031  5.844 0.001452 0.001936
217 0.221757  5.844 0.001512 0.001861
218 0.223210  5.844 0.001603 0.001909
219 0.224618  5.844 0.001545 0.001989
220 0.224763  4.870 0.001512 0.001994
221 0.226098  6.818 0.001587 0.002068
222 0.226893  5.844 0.001567 0.002081
223 0.228371  4.870 0.001623 0.001998
224 0.230124  6.331 0.001642 0.002039
225 0.230482  5.844 0.001666 0.002122
226 0.231457  4.870 0.001681 0.002051
227 0.231770  5.844 0.001678 0.002086
228 0.247932  7.305 0.001623 0.002092
229 0.234947  5.844 0.001637 0.002197
230 0.236741  5.844 0.001692 0.002160
231 0.236346  5.844 0.001756 0.002166
232 0.238162  4.870 0.001738 0.002230
233 0.241074  5.844 0.001743 0.002239
234 0.239313  5.357 0.001769 0.002612
235 0.240323  4.870 0.001797 0.002329
236 0.241702  5.357 0.001800 0.002290
237 0.243249  5.357 0.001795 0.002334
238 0.244928  5.357 0.001833 0.002320
239 0.244292  5.357 0.001865 0.002545
240 0.243993  5.357 0.001957 0.002398
241 0.247132  5.357 0.001853 0.002462
242 0.248565  7.305 0.001951 0.002416
243 0.248051  5.844 0.001898 0.002561
244 0.249582  5.844 0.001938 0.002454
245 0.250474  5.357 0.001976 0.002555
246 0.251454  5.844 0.001972 0.002546
247 0.253529  5.357 0.002005 0.002514
